issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001788451,LIFE,"GV 2017 GP, L.L.C.",false,false,,true,Series B Preferred Stock,2026-01-30,C,1751791,,D,0,I,,GOOGL,2026-01-30,2026-01-30 23:43:02+00:00,0001168404-26-000007,https://www.sec.gov/Archives/edgar/data/1652044/000116840426000007/form4-01302026_110152.xml
0001788451,LIFE,"GV 2017 GP, L.L.C.",false,false,,true,Series C Preferred Stock,2026-01-30,C,3287925,,D,0,I,,GOOGL,2026-01-30,2026-01-30 23:43:02+00:00,0001168404-26-000007,https://www.sec.gov/Archives/edgar/data/1652044/000116840426000007/form4-01302026_110152.xml
0001788451,LIFE,"GV 2017 GP, L.L.C.",false,false,,true,Series D Preferred Stock,2026-01-30,C,552126,,D,0,I,,GOOGL,2026-01-30,2026-01-30 23:43:02+00:00,0001168404-26-000007,https://www.sec.gov/Archives/edgar/data/1652044/000116840426000007/form4-01302026_110152.xml
0001652044,GOOGL,Sergey Brin,true,false,,true,Class B Common Stock,2025-11-26,C,1778650,0,D,358594578,D,0,GOOGL,2025-11-28,2025-11-28 22:13:22+00:00,0001193125-25-302626,https://www.sec.gov/Archives/edgar/data/1295032/000119312525302626/ownership.xml
0001652044,GOOGL,Sergey Brin,true,false,,true,Class B Common Stock,2025-05-21,C,2048000,0,D,360373228,D,0,GOOGL,2025-05-21,2025-05-21 20:36:59+00:00,0000950170-25-075820,https://www.sec.gov/Archives/edgar/data/1295032/000095017025075820/ownership.xml
0001652044,GOOGL,Sergey Brin,true,false,,true,Class B Common Stock,2024-11-26,C,322800,0,D,362421228,D,0,GOOGL,2024-11-26,2024-11-26 23:33:29+00:00,0000950170-24-131189,https://www.sec.gov/Archives/edgar/data/1295032/000095017024131189/ownership.xml
0001652044,GOOG,Sergey Brin,1,0,,1,Class B Common Stock,2024-05-30,C,384600,0.00,D,362744028,D,0.00,GOOGL,2024-06-03,2024-06-03 21:31:12+00:00,0001209191-24-005786,https://www.sec.gov/Archives/edgar/data/1295032/000120919124005786/doc4.xml
0001652044,GOOG,Sergey Brin,1,0,,1,Class B Common Stock,2023-05-11,C,2601500,0.00,D,365765620,D,0.00,GOOGL,2023-05-15,2023-05-15 16:01:13+00:00,0001209191-23-029270,https://www.sec.gov/Archives/edgar/data/1295032/000120919123029270/doc4.xml
0001652044,GOOG,Sergey Brin,1,0,,1,Class B Common Stock,2022-11-29,C,539400,0.00,D,368367120,D,0.00,GOOGL,2022-11-29,2022-11-29 19:39:50+00:00,0001209191-22-058929,https://www.sec.gov/Archives/edgar/data/1295032/000120919122058929/doc4.xml
